SlNo,TRANSACTION_ID,PNR_NO,CLIENT TRANSACTION ID,BOOKING_AMOUNT,PG NAME,CLASS,TRANSACTION_DATE,USER_ID,PRINCIPAL_USER_ID, AMC_Charge(Including GST)
1,100002482395392,8133598160,iboomtl00009:kim4zppu,97.70,BOOM ,2S,13-DEC-2020,iboomtl00009,iboomtl00000,.00
2,100002482338734,2313639822,iboomtl00018:kim7m12k,3346.38,BOOM ,3A,13-DEC-2020,iboomtl00018,iboomtl00000,.00
3,100002482338738,2113640005,iboomtl00018:kim86lrz,1246.38,BOOM ,CC,13-DEC-2020,iboomtl00018,iboomtl00000,.00
4,100002482338744,2542298048,iboomtl00018:kim8wt66,338.68,BOOM ,2S,13-DEC-2020,iboomtl00018,iboomtl00000,.00
5,100002482338796,2313640502,iboomtl00018:kimdz1bq,949.17,BOOM ,SL,13-DEC-2020,iboomtl00018,iboomtl00000,.00
6,100002482338810,2642298192,iboomtl00018:kimer6ow,328.19,BOOM ,SL,13-DEC-2020,iboomtl00018,iboomtl00000,.00
7,100002482338811,2313640415,iboomtl00018:kimez4pl,3455.40,BOOM ,3A,13-DEC-2020,iboomtl00018,iboomtl00000,.00
8,100002482338836,2860939293,iboomtl00018:kimfztrz,2525.40,BOOM ,2A,13-DEC-2020,iboomtl00018,iboomtl00000,.00
9,100002482505066,2860940211,iboomtl00018:kimj0sne,2477.70,BOOM ,SL,13-DEC-2020,iboomtl00018,iboomtl00000,.00
10,100002482579795,4207225985,iboomtl00060:kimofd9x,7298.34,BOOM ,3A,13-DEC-2020,iboomtl00060,iboomtl00000,.00
11,100002482651672,2642308066,iboomtl00067:kimp09hz,337.70,BOOM ,2S,13-DEC-2020,iboomtl00067,iboomtl00000,.00
12,100002482836215,2860952459,iboomtl00067:kimqw2m3,1127.70,BOOM ,2S,13-DEC-2020,iboomtl00067,iboomtl00000,.00
13,100002482836397,2860953641,iboomtl00067:kimrmz6b,667.70,BOOM ,SL,13-DEC-2020,iboomtl00067,iboomtl00000,.00
14,100002482836782,8233607215,iboomtl00067:kimt3ylg,2350.40,BOOM ,3A,13-DEC-2020,iboomtl00067,iboomtl00000,.00
15,100002482948148,2760955264,iboomtl00074:kimt4fp3,338.19,BOOM ,2S,13-DEC-2020,iboomtl00074,iboomtl00000,.00
16,100002482870695,2413656542,iboomtl00018:kimt79oa,700.89,BOOM ,3A,13-DEC-2020,iboomtl00018,iboomtl00000,.00
17,100002482870735,2760955611,iboomtl00018:kimtby3o,487.70,BOOM ,SL,13-DEC-2020,iboomtl00018,iboomtl00000,.00
18,100002482894735,4519494686,iboomtl00060:kimtzvt7,7298.34,BOOM ,3A,13-DEC-2020,iboomtl00060,iboomtl00000,.00
19,100002482894787,4620038081,iboomtl00060:kimuh5dv,6087.85,BOOM ,3A,13-DEC-2020,iboomtl00060,iboomtl00000,.00
20,100002483034031,2413658459,iboomtl00018:kimuqbye,142.70,BOOM ,2S,13-DEC-2020,iboomtl00018,iboomtl00000,.00
21,100002483054137,2860958881,iboomtl00062:kimvw1eb,1288.68,BOOM ,SL,13-DEC-2020,iboomtl00062,iboomtl00000,.00
22,100002483063877,2760962505,iboomtl00031:kimzyugg,6641.87,BOOM ,3A,13-DEC-2020,iboomtl00031,iboomtl00000,.00
23,100002483420373,2313671125,iboomtl00031:kin81r4p,438.19,BOOM ,SL,13-DEC-2020,iboomtl00031,iboomtl00000,.00
24,100002483480213,6144784362,iboomtl00078:kin8j9e5,2655.40,BOOM ,3A,13-DEC-2020,iboomtl00078,iboomtl00000,.00
25,100002483534043,2413673162,iboomtl00018:kin9vsvl,632.70,BOOM ,SL,13-DEC-2020,iboomtl00018,iboomtl00000,.00
26,100002483500314,2313673138,iboomtl00070:kinagopr,1540.40,BOOM ,3A,13-DEC-2020,iboomtl00070,iboomtl00000,.00
27,100002483440832,2413674363,iboomtl00079:kinbxh27,333.19,BOOM ,SL,13-DEC-2020,iboomtl00079,iboomtl00000,.00
28,100002483534785,2413675294,iboomtl00018:kine9vmm,12935.40,BOOM ,3A,13-DEC-2020,iboomtl00018,iboomtl00000,.00
29,100002482338746,2642297809,iboomtl00018:kim91gfo,1535.89,BOOM ,2A,13-DEC-2020,iboomtl00018,iboomtl00000,.00
30,100002482338764,2542298158,iboomtl00018:kimayu57,238.19,BOOM ,SL,13-DEC-2020,iboomtl00018,iboomtl00000,.00
31,100002482338787,2642298357,iboomtl00018:kimdgsf4,328.19,BOOM ,SL,13-DEC-2020,iboomtl00018,iboomtl00000,.00
32,100002482338803,2760939188,iboomtl00018:kimehstz,638.68,BOOM ,SL,13-DEC-2020,iboomtl00018,iboomtl00000,.00
33,100002482338818,2213640359,iboomtl00018:kimf74ae,3080.89,BOOM ,3A,13-DEC-2020,iboomtl00018,iboomtl00000,.00
34,100002482338859,2113640363,iboomtl00018:kimgfi6x,508.68,BOOM ,SL,13-DEC-2020,iboomtl00018,iboomtl00000,.00
35,100002482505093,2760940293,iboomtl00018:kimj8ti2,163.19,BOOM ,2S,13-DEC-2020,iboomtl00018,iboomtl00000,.00
36,100002482505223,2542300074,iboomtl00018:kimk8d3i,722.70,BOOM ,SL,13-DEC-2020,iboomtl00018,iboomtl00000,.00
37,100002482505260,2213642168,iboomtl00018:kimkiaax,1620.89,BOOM ,3A,13-DEC-2020,iboomtl00018,iboomtl00000,.00
38,100002482436868,2413643482,iboomtl00076:kimmabu2,1435.40,BOOM ,3A,13-DEC-2020,iboomtl00076,iboomtl00000,.00
39,100002482436905,2313644179,iboomtl00076:kimmhe3b,1490.40,BOOM ,3A,13-DEC-2020,iboomtl00076,iboomtl00000,.00
40,100002482436936,2413643905,iboomtl00076:kimmn7vy,1210.40,BOOM ,3A,13-DEC-2020,iboomtl00076,iboomtl00000,.00
41,100002482533724,2760944886,iboomtl00011:kimnm543,413.19,BOOM ,SL,13-DEC-2020,iboomtl00011,iboomtl00000,.00
42,100002482651079,2860944884,iboomtl00067:kimnt310,657.70,BOOM ,SL,13-DEC-2020,iboomtl00067,iboomtl00000,.00
43,100002482870412,2313655215,iboomtl00018:kimrytof,767.70,BOOM ,2S,13-DEC-2020,iboomtl00018,iboomtl00000,.00
44,100002483125637,2213665110,iboomtl00079:kin1ague,273.19,BOOM ,2S,13-DEC-2020,iboomtl00079,iboomtl00000,.00
45,100002483354986,2313672326,iboomtl00018:kin9mn18,1257.70,BOOM ,SL,13-DEC-2020,iboomtl00018,iboomtl00000,.00
46,100002483534635,2113674807,iboomtl00018:kind9s1s,12995.40,BOOM ,3A,13-DEC-2020,iboomtl00018,iboomtl00000,.00
