SlNo,TRANSACTION_ID,PNR_NO,CLIENT TRANSACTION ID,BOOKING_AMOUNT,PG NAME,CLASS,TRANSACTION_DATE,USER_ID,PRINCIPAL_USER_ID, AMC_Charge(Including GST)
1,100002424273220,2640613520,ivapron00131:kgeh3pa0,868.68,VAPRON,2S,18-OCT-2020,ivapron00131,ivapron00000,.00
2,100002424273263,2759254992,ivapron00131:kgehjud9,1082.70,VAPRON,2S,18-OCT-2020,ivapron00131,ivapron00000,.00
3,100002424368881,6143248712,ivapron00030:kgelp85o,2230.40,VAPRON,3A,18-OCT-2020,ivapron00030,ivapron00000,.00
4,100002424596151,2640618612,ivapron00030:kgenh8nh,1292.70,VAPRON,SL,18-OCT-2020,ivapron00030,ivapron00000,.00
5,100002424504800,2540622166,ivapron00116:kgep5r43,2645.89,VAPRON,3A,18-OCT-2020,ivapron00116,ivapron00000,.00
6,100002424556987,2859264710,ivapron00030:kgeq4f0i,997.70,VAPRON,SL,18-OCT-2020,ivapron00030,ivapron00000,.00
7,100002424708101,2540624290,ivapron00030:kgeqkia9,1217.70,VAPRON,2S,18-OCT-2020,ivapron00030,ivapron00000,.00
8,100002424708064,6443254863,ivapron00030:kgeqeyke,1367.70,VAPRON,SL,18-OCT-2020,ivapron00030,ivapron00000,.00
9,100002424662777,6243255619,ivapron00100:kgfi45mp,893.19,VAPRON,SL,18-OCT-2020,ivapron00100,ivapron00000,.00
10,100002424793616,2211970712,ivapron00011:kgeuteot,1427.70,VAPRON,SL,18-OCT-2020,ivapron00011,ivapron00000,.00
11,100002424793597,6443258708,ivapron00011:kgeupmn2,192.70,VAPRON,SL,18-OCT-2020,ivapron00011,ivapron00000,.00
12,100002424793808,2411971923,ivapron00011:kgew4l99,402.70,VAPRON,2S,18-OCT-2020,ivapron00011,ivapron00000,.00
13,100002424793800,2640629216,ivapron00011:kgew0a87,2327.70,VAPRON,2S,18-OCT-2020,ivapron00011,ivapron00000,.00
14,100002424793877,6643259721,ivapron00011:kgewqf6s,1442.70,VAPRON,SL,18-OCT-2020,ivapron00011,ivapron00000,.00
15,100002424793887,2111972019,ivapron00011:kgewsz7z,527.70,VAPRON,SL,18-OCT-2020,ivapron00011,ivapron00000,.00
16,100002424959061,2211972992,ivapron00116:kgexshx2,739.17,VAPRON,2S,18-OCT-2020,ivapron00116,ivapron00000,.00
17,100002424959049,8332528439,ivapron00116:kgexoq4u,1294.17,VAPRON,SL,18-OCT-2020,ivapron00116,ivapron00000,.00
18,100002424948211,6543260624,ivapron00100:kgfox56r,893.19,VAPRON,SL,18-OCT-2020,ivapron00100,ivapron00000,.00
19,100002424948376,6643261062,ivapron00100:kgfq4rkl,718.19,VAPRON,SL,18-OCT-2020,ivapron00100,ivapron00000,.00
20,100002424891639,2111974605,ivapron00131:kgf0gjqg,273.19,VAPRON,2S,18-OCT-2020,ivapron00131,ivapron00000,.00
21,100002424959553,2540633461,ivapron00116:kgf1hrgk,720.89,VAPRON,3A,18-OCT-2020,ivapron00116,ivapron00000,.00
22,100002424959650,8632529723,ivapron00116:kgf240sc,1406.38,VAPRON,3A,18-OCT-2020,ivapron00116,ivapron00000,.00
23,100002424985585,2311976085,ivapron00011:kgf2b8ae,1855.40,VAPRON,3A,18-OCT-2020,ivapron00011,ivapron00000,.00
24,100002424959770,6543262691,ivapron00116:kgf2rtyq,2120.64,VAPRON,2S,18-OCT-2020,ivapron00116,ivapron00000,.00
25,100002424977875,2111977754,ivapron00116:kgf3zzp2,739.66,VAPRON,2S,18-OCT-2020,ivapron00116,ivapron00000,.00
26,100002424977854,6543263109,ivapron00116:kgf3w6lf,1419.66,VAPRON,2S,18-OCT-2020,ivapron00116,ivapron00000,.00
27,100002424977912,8432530535,ivapron00116:kgf499br,659.66,VAPRON,2S,18-OCT-2020,ivapron00116,ivapron00000,.00
28,100002425128505,4406062918,ivapron00116:kgf7o4zt,223.19,VAPRON,SL,18-OCT-2020,ivapron00116,ivapron00000,.00
29,100002425128464,4406062981,ivapron00116:kgf7gi6r,358.19,VAPRON,SL,18-OCT-2020,ivapron00116,ivapron00000,.00
30,100002425181683,2859281223,ivapron00030:kgfa9czx,1217.70,VAPRON,2S,18-OCT-2020,ivapron00030,ivapron00000,.00
31,100002425181648,6743267067,ivapron00030:kgf9vmqb,1367.70,VAPRON,SL,18-OCT-2020,ivapron00030,ivapron00000,.00
32,100002425128563,2759279788,ivapron00116:kgf7v49r,488.19,VAPRON,2S,18-OCT-2020,ivapron00116,ivapron00000,.00
