SlNo,TRANSACTION_ID,PNR_NO,CLIENT TRANSACTION ID,BOOKING_AMOUNT,PG NAME,CLASS,TRANSACTION_DATE,USER_ID,PRINCIPAL_USER_ID, AMC_Charge(Including GST)
1,100002462895328,2213095517,iboomtl00067:khzt2r0i,1492.70,BOOM ,SL,27-NOV-2020,iboomtl00067,iboomtl00000,.00
2,100002462743971,2641753228,iboomtl00076:khzt2kek,15758.34,BOOM ,3A,27-NOV-2020,iboomtl00076,iboomtl00000,.00
3,100002462768202,2541749032,iboomtl00076:khzpdvj3,1800.40,BOOM ,2A,27-NOV-2020,iboomtl00076,iboomtl00000,.00
4,100002463296139,2641769391,iboomtl00001:ki04ru17,8995.40,BOOM ,3A,27-NOV-2020,iboomtl00001,iboomtl00000,.00
5,100002463309336,2213112362,iboomtl00076:ki0680dz,1705.40,BOOM ,2A,27-NOV-2020,iboomtl00076,iboomtl00000,.00
6,100002463321576,4619619463,iboomtl00060:ki09alo3,1320.40,BOOM ,3A,27-NOV-2020,iboomtl00060,iboomtl00000,.00
7,100002463179979,2860410333,iboomtl00066:ki050qal,899.66,BOOM ,2S,27-NOV-2020,iboomtl00066,iboomtl00000,.00
8,100002462982427,4306806668,iboomtl00073:khzv8818,1517.70,BOOM ,SL,27-NOV-2020,iboomtl00073,iboomtl00000,.00
9,100002463106031,2760401431,iboomtl00062:khzw3u3w,6591.87,BOOM ,3A,27-NOV-2020,iboomtl00062,iboomtl00000,.00
10,100002462975986,2641761716,iboomtl00074:khzxm2w4,577.70,BOOM ,SL,27-NOV-2020,iboomtl00074,iboomtl00000,.00
11,100002463148017,6806595916,iboomtl00074:khzxr7mb,352.70,BOOM ,2S,27-NOV-2020,iboomtl00074,iboomtl00000,.00
12,100002463074523,6344230688,iboomtl00067:khzx64yy,4515.40,BOOM ,3A,27-NOV-2020,iboomtl00067,iboomtl00000,.00
13,100002463074280,2413101825,iboomtl00067:khzvpjxb,8275.40,BOOM ,3A,27-NOV-2020,iboomtl00067,iboomtl00000,.00
14,100002463272961,6544239476,iboomtl00011:ki083an1,328.19,BOOM ,SL,27-NOV-2020,iboomtl00011,iboomtl00000,.00
15,100002463301386,6344238618,iboomtl00062:ki06wjxk,1689.17,BOOM ,SL,27-NOV-2020,iboomtl00062,iboomtl00000,.00
16,100002463476127,2213116953,iboomtl00073:ki0ba0o7,868.68,BOOM ,SL,27-NOV-2020,iboomtl00073,iboomtl00000,.00
17,100002463639265,2641779130,iboomtl00076:ki0hpi3a,1845.40,BOOM ,2A,27-NOV-2020,iboomtl00076,iboomtl00000,.00
18,100002463639293,2113121278,iboomtl00076:ki0hz5qd,1585.40,BOOM ,2A,27-NOV-2020,iboomtl00076,iboomtl00000,.00
19,100002463384748,2413116542,iboomtl00059:ki0avb2f,602.70,BOOM ,2S,27-NOV-2020,iboomtl00059,iboomtl00000,.00
20,100002463450983,2313119611,iboomtl00018:ki0eznup,2675.40,BOOM ,3A,27-NOV-2020,iboomtl00018,iboomtl00000,.00
21,100002463475626,2641777311,iboomtl00031:ki0esuas,908.68,BOOM ,SL,27-NOV-2020,iboomtl00031,iboomtl00000,.00
22,100002463635463,2213122512,iboomtl00018:ki0jqvla,2680.40,BOOM ,2A,27-NOV-2020,iboomtl00018,iboomtl00000,.00
23,100002463384724,2413116312,iboomtl00059:ki0ahbfa,1187.70,BOOM ,2S,27-NOV-2020,iboomtl00059,iboomtl00000,.00
24,100002463635454,2760421348,iboomtl00018:ki0jkkyo,987.70,BOOM ,SL,27-NOV-2020,iboomtl00018,iboomtl00000,.00
25,100002463546137,2760417752,iboomtl00060:ki0dknfc,2035.40,BOOM ,3A,27-NOV-2020,iboomtl00060,iboomtl00000,.00
26,100002463448893,2760417667,iboomtl00070:ki0dw58q,1167.70,BOOM ,SL,27-NOV-2020,iboomtl00070,iboomtl00000,.00
